Country Name,Country Code,2019
Aruba,ABW,
Africa Eastern and Southern,AFE,0.913617789744976
Afghanistan,AFG,0.159824372036919
Africa Western and Central,AFW,0.493923185283811
Angola,AGO,0.792137069457626
Albania,ALB,1.69224831964856
Andorra,AND,6.4812174318824
Arab World,ARB,4.40838944882303
United Arab Emirates,ARE,19.3295632814806
Argentina,ARG,3.74065029063396
Armenia,ARM,2.08606067775467
American Samoa,ASM,
Antigua and Barbuda,ATG,5.35447645499165
Australia,AUS,15.2382671504147
Austria,AUT,7.2939842524557
Azerbaijan,AZE,3.54239782750878
Burundi,BDI,0.062442671221937
Belgium,BEL,8.09558395403513
Benin,BEN,0.618583745834187
Burkina Faso,BFA,0.246046245966625
Bangladesh,BGD,0.556529455394022
Bulgaria,BGR,5.61085727989368
Bahrain,BHR,20.2661027913927
"Bahamas, The",BHS,7.29166109736758
Bosnia and Herzegovina,BIH,6.38291804321729
Belarus,BLR,6.12223776544422
Belize,BLZ,1.63955000933746
Bermuda,BMU,
Bolivia,BOL,1.94039800503704
Brazil,BRA,2.05781083913756
Barbados,BRB,4.35508203232516
Brunei Darussalam,BRN,16.1321585500862
Bhutan,BTN,1.37597720898904
Botswana,BWA,3.14710707065972
Central African Republic,CAF,0.0505776483111769
Canada,CAN,15.4306128276297
Central Europe and the Baltics,CEB,6.26542421596903
Switzerland,CHE,4.35904146198319
Channel Islands,CHI,
Chile,CHL,4.82111829925293
China,CHN,7.60593696057347
Cote d'Ivoire,CIV,0.421129515397207
Cameroon,CMR,0.364424921654471
"Congo, Dem. Rep.",COD,0.0369855862465028
"Congo, Rep.",COG,1.34931601739946
Colombia,COL,1.60987083062336
Comoros,COM,0.376076363303223
Cabo Verde,CPV,1.18195567512973
Costa Rica,CRI,1.63247155826708
Caribbean small states,CSS,5.11795837038063
Cuba,CUB,2.28614606482985
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,5.99879528274471
Czech Republic,CZE,9.02278615795801
Germany,DEU,7.91162101567715
Djibouti,DJI,0.431407700717039
Dominica,DMA,2.36742426732591
Denmark,DNK,5.10798850907958
Dominican Republic,DOM,2.53562795178678
Algeria,DZA,3.9776504588966
East Asia & Pacific (excluding high income),EAP,5.93795688343684
Early-demographic dividend,EAR,2.26506310306369
East Asia & Pacific,EAS,6.4972575237128
Europe & Central Asia (excluding high income),ECA,7.36799629403694
Europe & Central Asia,ECS,6.57673393881939
Ecuador,ECU,2.26146981694915
"Egypt, Arab Rep.",EGY,2.48405991083232
Euro area,EMU,6.1144077520643
Eritrea,ERI,0.251635846107416
Spain,ESP,5.09135092007508
Estonia,EST,7.67227790917304
Ethiopia,ETH,0.16381342920099
European Union,EUU,6.09343322014878
Fragile and conflict affected situations,FCS,0.77545098917025
Finland,FIN,7.37285476082008
Fiji,FJI,1.83155327542587
France,FRA,4.46877008881409
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,1.58156950692426
Gabon,GAB,2.41648401116093
United Kingdom,GBR,5.22051448799294
Georgia,GEO,2.71762422558518
Ghana,GHA,0.658823540945168
Gibraltar,GIB,
Guinea,GIN,0.30928854143783
"Gambia, The",GMB,0.247050718368434
Guinea-Bissau,GNB,0.171792957797251
Equatorial Guinea,GNQ,3.94548003191235
Greece,GRC,5.59618906985928
Grenada,GRD,2.94637607465065
Greenland,GRL,
Guatemala,GTM,1.16297092439764
Guam,GUM,
Guyana,GUY,3.64089285507658
High income,HIC,9.81961722677621
"Hong Kong SAR, China",HKG,
Honduras,HND,1.04862299152317
Heavily indebted poor countries (HIPC),HPC,0.285290900819013
Croatia,HRV,4.06370783264011
Haiti,HTI,0.294768413969466
Hungary,HUN,4.74663102989868
IBRD only,IBD,4.45944109127339
IDA & IBRD total,IBT,3.45429910645953
IDA total,IDA,0.54928418231497
IDA blend,IDB,0.863771818915578
Indonesia,IDN,2.2903971480842
IDA only,IDX,0.389915025249206
Isle of Man,IMN,
India,IND,1.79762011876852
Not classified,INX,
Ireland,IRL,7.24514322077522
"Iran, Islamic Rep.",IRN,7.59836484538996
Iraq,IRQ,4.44062412949085
Iceland,ISL,4.54844225751086
Israel,ISR,6.91959371834315
Italy,ITA,5.31131544170879
Jamaica,JAM,2.84573001224876
Jordan,JOR,2.43820411172168
Japan,JPN,8.54098020491546
Kazakhstan,KAZ,11.4569378323984
Kenya,KEN,0.423783898343557
Kyrgyz Republic,KGZ,1.55664325620875
Cambodia,KHM,0.981406549971231
Kiribati,KIR,0.765254094757829
St. Kitts and Nevis,KNA,4.73180149146383
"Korea, Rep.",KOR,11.7993253802233
Kuwait,KWT,22.0224164011923
Latin America & Caribbean (excluding high income),LAC,2.36203799483158
Lao PDR,LAO,2.60968183422462
Lebanon,LBN,4.07689427350833
Liberia,LBR,0.238993430019259
Libya,LBY,8.38072934435112
